d,a,e
5.009999999999999787e+00,1.100000000000000000e+02,-4.371685016264628842e+01
5.009999999999999787e+00,1.150000000000000000e+02,-4.371683141279265783e+01
5.009999999999999787e+00,1.200000000000000000e+02,-4.371678109916782518e+01
5.009999999999999787e+00,1.250000000000000000e+02,-4.371665471195709074e+01
5.019999999999999574e+00,0.000000000000000000e+00,-4.371685557750421935e+01
5.019999999999999574e+00,5.000000000000000000e+00,-4.371685557656198995e+01
5.019999999999999574e+00,1.000000000000000000e+01,-4.371685557642623365e+01
5.019999999999999574e+00,1.500000000000000000e+01,-4.371685557710935655e+01
5.019999999999999574e+00,2.000000000000000000e+01,-4.371685557986482706e+01
5.019999999999999574e+00,2.500000000000000000e+01,-4.371685558624378132e+01
5.019999999999999574e+00,3.000000000000000000e+01,-4.371685559785385777e+01
5.019999999999999574e+00,3.500000000000000000e+01,-4.371685561608208559e+01
5.019999999999999574e+00,4.000000000000000000e+01,-4.371685564181397865e+01
5.019999999999999574e+00,4.500000000000000000e+01,-4.371685567529866034e+01
5.019999999999999574e+00,5.000000000000000000e+01,-4.371685571647907409e+01
5.019999999999999574e+00,5.500000000000000000e+01,-4.371685576633310433e+01
5.019999999999999574e+00,6.000000000000000000e+01,-4.371685582997976383e+01
5.019999999999999574e+00,6.500000000000000000e+01,-4.371685592247519025e+01
5.019999999999999574e+00,7.000000000000000000e+01,-4.371685607747928515e+01
5.019999999999999574e+00,7.500000000000000000e+01,-4.371685635681865278e+01
5.019999999999999574e+00,8.000000000000000000e+01,-4.371685685361111950e+01
5.019999999999999574e+00,8.500000000000000000e+01,-4.371685767285688939e+01
5.019999999999999574e+00,9.000000000000000000e+01,-4.371685886433061086e+01
5.019999999999999574e+00,9.500000000000000000e+01,-4.371686028068772600e+01
5.019999999999999574e+00,1.000000000000000000e+02,-4.371686133681976116e+01
5.019999999999999574e+00,1.050000000000000000e+02,-4.371686059640443744e+01
5.019999999999999574e+00,1.100000000000000000e+02,-4.371685483723057786e+01
5.019999999999999574e+00,1.150000000000000000e+02,-4.371683650546743394e+01
5.019999999999999574e+00,1.200000000000000000e+02,-4.371678718837071642e+01
5.019999999999999574e+00,1.250000000000000000e+02,-4.371666301668027188e+01
5.029999999999999361e+00,0.000000000000000000e+00,-4.371685998547479812e+01
5.029999999999999361e+00,5.000000000000000000e+00,-4.371685998452353772e+01
5.029999999999999361e+00,1.000000000000000000e+01,-4.371685998431502895e+01
5.029999999999999361e+00,1.500000000000000000e+01,-4.371685998486456981e+01
5.029999999999999361e+00,2.000000000000000000e+01,-4.371685998742847801e+01
5.029999999999999361e+00,2.500000000000000000e+01,-4.371685999353682917e+01
5.029999999999999361e+00,3.000000000000000000e+01,-4.371686000479991208e+01
5.029999999999999361e+00,3.500000000000000000e+01,-4.371686002259923498e+01
5.029999999999999361e+00,4.000000000000000000e+01,-4.371686004782070256e+01
5.029999999999999361e+00,4.500000000000000000e+01,-4.371686008069524831e+01
5.029999999999999361e+00,5.000000000000000000e+01,-4.371686012110475872e+01
5.029999999999999361e+00,5.500000000000000000e+01,-4.371686016985765377e+01
5.029999999999999361e+00,6.000000000000000000e+01,-4.371686023172817670e+01
5.029999999999999361e+00,6.500000000000000000e+01,-4.371686032110620346e+01
5.029999999999999361e+00,7.000000000000000000e+01,-4.371686047064980585e+01
5.029999999999999361e+00,7.500000000000000000e+01,-4.371686074098566621e+01
5.029999999999999361e+00,8.000000000000000000e+01,-4.371686122439173516e+01
5.029999999999999361e+00,8.500000000000000000e+01,-4.371686202656690057e+01
5.029999999999999361e+00,9.000000000000000000e+01,-4.371686320117551361e+01
5.029999999999999361e+00,9.500000000000000000e+01,-4.371686460939075403e+01
5.029999999999999361e+00,1.000000000000000000e+02,-4.371686568043129029e+01
5.029999999999999361e+00,1.050000000000000000e+02,-4.371686500285238708e+01
5.029999999999999361e+00,1.100000000000000000e+02,-4.371685941014015953e+01
5.029999999999999361e+00,1.150000000000000000e+02,-4.371684148879937482e+01
5.029999999999999361e+00,1.200000000000000000e+02,-4.371679315043409986e+01
5.029999999999999361e+00,1.250000000000000000e+02,-4.371667116061173886e+01
5.039999999999999147e+00,0.000000000000000000e+00,-4.371686429595212076e+01
5.039999999999999147e+00,5.000000000000000000e+00,-4.371686429499305859e+01
5.039999999999999147e+00,1.000000000000000000e+01,-4.371686429471490243e+01
5.039999999999999147e+00,1.500000000000000000e+01,-4.371686429514237204e+01
5.039999999999999147e+00,2.000000000000000000e+01,-4.371686429751759562e+01
5.039999999999999147e+00,2.500000000000000000e+01,-4.371686430336978901e+01
5.039999999999999147e+00,3.000000000000000000e+01,-4.371686431429691311e+01
5.039999999999999147e+00,3.500000000000000000e+01,-4.371686433168339647e+01
5.039999999999999147e+00,4.000000000000000000e+01,-4.371686435641067447e+01
5.039999999999999147e+00,4.500000000000000000e+01,-4.371686438869691216e+01
5.039999999999999147e+00,5.000000000000000000e+01,-4.371686442836939079e+01
5.039999999999999147e+00,5.500000000000000000e+01,-4.371686447607850567e+01
5.039999999999999147e+00,6.000000000000000000e+01,-4.371686453625203228e+01
5.039999999999999147e+00,6.500000000000000000e+01,-4.371686462264813144e+01
5.039999999999999147e+00,7.000000000000000000e+01,-4.371686476693801637e+01
5.039999999999999147e+00,7.500000000000000000e+01,-4.371686502854709033e+01
5.039999999999999147e+00,8.000000000000000000e+01,-4.371686549888986661e+01
5.039999999999999147e+00,8.500000000000000000e+01,-4.371686628429617372e+01
5.039999999999999147e+00,9.000000000000000000e+01,-4.371686744221985776e+01
5.039999999999999147e+00,9.500000000000000000e+01,-4.371686884228105896e+01
5.039999999999999147e+00,1.000000000000000000e+02,-4.371686992795332571e+01
5.039999999999999147e+00,1.050000000000000000e+02,-4.371686931234067686e+01
5.039999999999999147e+00,1.100000000000000000e+02,-4.371686388230692444e+01
5.039999999999999147e+00,1.150000000000000000e+02,-4.371684636496855347e+01
5.039999999999999147e+00,1.200000000000000000e+02,-4.371679898781460594e+01
5.039999999999999147e+00,1.250000000000000000e+02,-4.371667914655814968e+01
5.049999999999998934e+00,0.000000000000000000e+00,-4.371686851098495907e+01
5.049999999999998934e+00,5.000000000000000000e+00,-4.371686851001723539e+01
5.049999999999998934e+00,1.000000000000000000e+01,-4.371686850967481064e+01
5.049999999999998934e+00,1.500000000000000000e+01,-4.371686850998213458e+01
5.049999999999998934e+00,2.000000000000000000e+01,-4.371686851218153436e+01
5.049999999999998934e+00,2.500000000000000000e+01,-4.371686851778746075e+01
5.049999999999998934e+00,3.000000000000000000e+01,-4.371686852839198423e+01
5.049999999999998934e+00,3.500000000000000000e+01,-4.371686854538093314e+01
5.049999999999998934e+00,4.000000000000000000e+01,-4.371686856962995193e+01
5.049999999999998934e+00,4.500000000000000000e+01,-4.371686860134840913e+01
5.049999999999998934e+00,5.000000000000000000e+01,-4.371686864031086373e+01
5.049999999999998934e+00,5.500000000000000000e+01,-4.371686868702364848e+01
5.049999999999998934e+00,6.000000000000000000e+01,-4.371686874558184854e+01
5.049999999999998934e+00,6.500000000000000000e+01,-4.371686882912740657e+01
5.049999999999998934e+00,7.000000000000000000e+01,-4.371686896836511238e+01
5.049999999999998934e+00,7.500000000000000000e+01,-4.371686922151842225e+01
5.049999999999998934e+00,8.000000000000000000e+01,-4.371686967911181654e+01
5.049999999999998934e+00,8.500000000000000000e+01,-4.371687044804588140e+01
5.049999999999998934e+00,9.000000000000000000e+01,-4.371687158945714202e+01
5.049999999999998934e+00,9.500000000000000000e+01,-4.371687298133588229e+01
5.049999999999998934e+00,1.000000000000000000e+02,-4.371687408133932706e+01
5.049999999999998934e+00,1.050000000000000000e+02,-4.371687352682387484e+01
5.049999999999998934e+00,1.100000000000000000e+02,-4.371686825792967568e+01
5.049999999999998934e+00,1.150000000000000000e+02,-4.371685113610772078e+01
5.049999999999998934e+00,1.200000000000000000e+02,-4.371680470293787124e+01
5.049999999999998934e+00,1.250000000000000000e+02,-4.371668697728172504e+01
5.059999999999998721e+00,0.000000000000000000e+00,-4.371687263258058920e+01
5.059999999999998721e+00,5.000000000000000000e+00,-4.371687263160685433e+01
5.059999999999998721e+00,1.000000000000000000e+01,-4.371687263120273315e+01
5.059999999999998721e+00,1.500000000000000000e+01,-4.371687263140093194e+01
5.059999999999998721e+00,2.000000000000000000e+01,-4.371687263342892038e+01
5.059999999999998721e+00,2.500000000000000000e+01,-4.371687263879900343e+01
5.059999999999998721e+00,3.000000000000000000e+01,-4.371687264909292026e+01
5.059999999999998721e+00,3.500000000000000000e+01,-4.371687266569628605e+01
5.059999999999998721e+00,4.000000000000000000e+01,-4.371687268948296889e+01
5.059999999999998721e+00,4.500000000000000000e+01,-4.371687272065550189e+01
5.059999999999998721e+00,5.000000000000000000e+01,-4.371687275893845026e+01
5.059999999999998721e+00,5.500000000000000000e+01,-4.371687280469838299e+01
5.059999999999998721e+00,6.000000000000000000e+01,-4.371687286172079467e+01
5.059999999999998721e+00,6.500000000000000000e+01,-4.371687294253876388e+01
5.059999999999998721e+00,7.000000000000000000e+01,-4.371687307691098567e+01
5.059999999999998721e+00,7.500000000000000000e+01,-4.371687332187183017e+01
5.059999999999998721e+00,8.000000000000000000e+01,-4.371687376702592331e+01
5.059999999999998721e+00,8.500000000000000000e+01,-4.371687451977221173e+01
5.059999999999998721e+00,9.000000000000000000e+01,-4.371687564484127364e+01
5.059999999999998721e+00,9.500000000000000000e+01,-4.371687702849416013e+01
5.059999999999998721e+00,1.000000000000000000e+02,-4.371687814251666282e+01
5.059999999999998721e+00,1.050000000000000000e+02,-4.371687764821459155e+01
5.059999999999998721e+00,1.100000000000000000e+02,-4.371687253785775340e+01
